"filename", "language", "HTML", "C++", "JSON", "CMake", "YAML", "Markdown", "Dart", "Swift", "XML", "Python", "Java Properties", "Gradle", "comment", "blank", "total"
"c:\Users\Acer\u_teen\lib\providers\notification_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 12, 116
"c:\Users\Acer\u_teen\lib\providers\order_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 328, 0, 0, 0, 0, 0, 0, 35, 363
"c:\Users\Acer\u_teen\lib\providers\rating_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 10, 68
"c:\Users\Acer\u_teen\lib\providers\theme_notifier.dart", "Dart", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 7, 62
"c:\Users\Acer\u_teen\lib\repositories\order_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 7, 51
"c:\Users\Acer\u_teen\lib\screens\customer\favorite_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 226, 0, 0, 0, 0, 0, 0, 4, 230
"c:\Users\Acer\u_teen\lib\screens\customer\home_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 511, 0, 0, 0, 0, 0, 0, 26, 537
"c:\Users\Acer\u_teen\lib\screens\customer\my_orders_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 206, 0, 0, 0, 0, 0, 1, 12, 219
"c:\Users\Acer\u_teen\lib\screens\customer\notification_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 286, 0, 0, 0, 0, 0, 2, 8, 296
"c:\Users\Acer\u_teen\lib\screens\customer\payment_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 361, 0, 0, 0, 0, 0, 0, 24, 385
"c:\Users\Acer\u_teen\lib\screens\customer\payment_success_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 5, 125
"c:\Users\Acer\u_teen\lib\screens\customer\profile_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 576, 0, 0, 0, 0, 0, 0, 12, 588
"c:\Users\Acer\u_teen\lib\screens\customer\shopping_cart_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 510, 0, 0, 0, 0, 0, 0, 28, 538
"c:\Users\Acer\u_teen\lib\screens\login_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 296, 0, 0, 0, 0, 0, 0, 25, 321
"c:\Users\Acer\u_teen\lib\screens\seller\cancellation_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 6, 84
"c:\Users\Acer\u_teen\lib\screens\seller\completed_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 8, 91
"c:\Users\Acer\u_teen\lib\screens\seller\edit_product_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 627, 0, 0, 0, 0, 0, 1, 41, 669
"c:\Users\Acer\u_teen\lib\screens\seller\home_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 524, 0, 0, 0, 0, 0, 0, 15, 539
"c:\Users\Acer\u_teen\lib\screens\seller\my_balance_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 306, 0, 0, 0, 0, 0, 0, 12, 318
"c:\Users\Acer\u_teen\lib\screens\seller\my_product_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 253, 0, 0, 0, 0, 0, 1, 11, 265
"c:\Users\Acer\u_teen\lib\screens\seller\on_process_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 3, 7, 92
"c:\Users\Acer\u_teen\lib\screens\seller\profile_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 745, 0, 0, 0, 0, 0, 0, 17, 762
"c:\Users\Acer\u_teen\lib\screens\seller\rating_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 1, 5, 123
"c:\Users\Acer\u_teen\lib\screens\seller\transaction_history_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 514, 0, 0, 0, 0, 0, 0, 24, 538
"c:\Users\Acer\u_teen\lib\scripts\initialize_firebase.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 13, 11, 181
"c:\Users\Acer\u_teen\lib\scripts\service_account_key.json", "JSON", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Acer\u_teen\lib\services\calendar_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 234, 0, 0, 0, 0, 0, 0, 30, 264
"c:\Users\Acer\u_teen\lib\utils\app_theme.dart", "Dart", 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 4, 141
"c:\Users\Acer\u_teen\lib\utils\calendar_utils.dart", "Dart", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 5, 44
"c:\Users\Acer\u_teen\lib\utils\formatters.dart", "Dart", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Acer\u_teen\lib\utils\navigation_utils.dart", "Dart", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\Acer\u_teen\lib\utils\order_dialog_utils.dart", "Dart", 0, 0, 0, 0, 0, 0, 358, 0, 0, 0, 0, 0, 0, 10, 368
"c:\Users\Acer\u_teen\lib\utils\thousand_separator_formatter.dart", "Dart", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 4, 7, 43
"c:\Users\Acer\u_teen\lib\widgets\customer\cart_item_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 171, 0, 0, 0, 0, 0, 0, 4, 175
"c:\Users\Acer\u_teen\lib\widgets\customer\cart_summary_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 1, 4, 96
