"filename", "language", "C++", "CMake", "JSON", "YAML", "Dart", "Swift", "HTML", "Markdown", "XML", "Java Properties", "comment", "blank", "total"
"c:\Users\Acer\u_teen\lib\screens\seller\on_process_screen.dart", "Dart", 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 3, 7, 97
"c:\Users\Acer\u_teen\lib\screens\seller\profile_screen.dart", "Dart", 0, 0, 0, 0, 747, 0, 0, 0, 0, 0, 1, 17, 765
"c:\Users\Acer\u_teen\lib\screens\seller\rating_screen.dart", "Dart", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 1, 5, 128
"c:\Users\Acer\u_teen\lib\screens\seller\transaction_history_screen.dart", "Dart", 0, 0, 0, 0, 514, 0, 0, 0, 0, 0, 0, 24, 538
"c:\Users\Acer\u_teen\lib\services\calendar_service.dart", "Dart", 0, 0, 0, 0, 234, 0, 0, 0, 0, 0, 0, 30, 264
"c:\Users\Acer\u_teen\lib\utils\app_theme.dart", "Dart", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 3, 3, 51
"c:\Users\Acer\u_teen\lib\utils\calendar_utils.dart", "Dart", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 5, 44
"c:\Users\Acer\u_teen\lib\utils\formatters.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Acer\u_teen\lib\utils\navigation_utils.dart", "Dart", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\Acer\u_teen\lib\utils\order_dialog_utils.dart", "Dart", 0, 0, 0, 0, 357, 0, 0, 0, 0, 0, 0, 10, 367
"c:\Users\Acer\u_teen\lib\utils\thousand_separator_formatter.dart", "Dart", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 4, 7, 43
"c:\Users\Acer\u_teen\lib\widgets\customer\cart_item_widget.dart", "Dart", 0, 0, 0, 0, 134, 0, 0, 0, 0, 0, 0, 4, 138
"c:\Users\Acer\u_teen\lib\widgets\customer\cart_summary_widget.dart", "Dart", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 2, 51
"c:\Users\Acer\u_teen\lib\widgets\customer\category_selector.dart", "Dart", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 4, 56
"c:\Users\Acer\u_teen\lib\widgets\customer\custom_bottom_navigation.dart", "Dart", 0, 0, 0, 0, 151, 0, 0, 0, 0, 0, 0, 12, 163
"c:\Users\Acer\u_teen\lib\widgets\customer\detail_box.dart", "Dart", 0, 0, 0, 0, 244, 0, 0, 0, 0, 0, 9, 14, 267
"c:\Users\Acer\u_teen\lib\widgets\customer\search_widget.dart", "Dart", 0, 0, 0, 0, 475, 0, 0, 0, 0, 0, 0, 18, 493
"c:\Users\Acer\u_teen\lib\widgets\food_list.dart", "Dart", 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 2, 8, 178
"c:\Users\Acer\u_teen\lib\widgets\notes_field.dart", "Dart", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\Acer\u_teen\lib\widgets\order_card.dart", "Dart", 0, 0, 0, 0, 682, 0, 0, 0, 0, 0, 11, 21, 714
"c:\Users\Acer\u_teen\lib\widgets\payment_method_card.dart", "Dart", 0, 0, 0, 0, 216, 0, 0, 0, 0, 0, 0, 14, 230
"c:\Users\Acer\u_teen\lib\widgets\rating\feedback_card.dart", "Dart", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 3, 64
"c:\Users\Acer\u_teen\lib\widgets\rating\rating_dialog.dart", "Dart", 0, 0, 0, 0, 214, 0, 0, 0, 0, 0, 0, 16, 230
"c:\Users\Acer\u_teen\lib\widgets\rating\rating_distribution_card.dart", "Dart", 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 5, 90
"c:\Users\Acer\u_teen\lib\widgets\rating\rating_history_card.dart", "Dart", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 3, 82
"c:\Users\Acer\u_teen\lib\widgets\rating\rating_stars.dart", "Dart", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\Acer\u_teen\lib\widgets\rating\rating_summary_card.dart", "Dart", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 3, 73
"c:\Users\Acer\u_teen\lib\widgets\seller\calendar_widget.dart", "Dart", 0, 0, 0, 0, 478, 0, 0, 0, 0, 0, 3, 28, 509
"c:\Users\Acer\u_teen\lib\widgets\seller\custom_bottom_navigation.dart", "Dart", 0, 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 14, 180
"c:\Users\Acer\u_teen\lib\widgets\seller\empty_state_widget.dart", "Dart", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 3, 39
"c:\Users\Acer\u_teen\lib\widgets\seller\event_card.dart", "Dart", 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 4, 104
"c:\Users\Acer\u_teen\lib\widgets\seller\product_card.dart", "Dart", 0, 0, 0, 0, 201, 0, 0, 0, 0, 0, 5, 3, 209
"c:\Users\Acer\u_teen\lib\widgets\seller\sales_metric_card.dart", "Dart", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 3, 65
"c:\Users\Acer\u_teen\lib\widgets\status_button.dart", "Dart", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 3, 75
"c:\Users\Acer\u_teen\lib\widgets\time_picker_widget.dart", "Dart", 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 3, 18, 231
"c:\Users\Acer\u_teen\lib\widgets\withdraw\quick_amount_button.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 3, 33
