"filename", "language", "C++", "YAML", "JSON", "Dart", "Swift", "HTML", "Markdown", "XML", "Java Properties", "comment", "blank", "total"
"c:\Users\Acer\u_teen\lib\models\order_model.dart", "Dart", 0, 0, 0, 208, 0, 0, 0, 0, 0, 1, 11, 220
"c:\Users\Acer\u_teen\lib\models\payment_method.dart", "Dart", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Acer\u_teen\lib\models\product_model.dart", "Dart", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 46
"c:\Users\Acer\u_teen\lib\models\rating_model.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Acer\u_teen\lib\providers\balance_provider.dart", "Dart", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 20, 121
"c:\Users\Acer\u_teen\lib\providers\cart_provider.dart", "Dart", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 12, 70
"c:\Users\Acer\u_teen\lib\providers\favorite_provider.dart", "Dart", 0, 0, 0, 61, 0, 0, 0, 0, 0, 6, 11, 78
"c:\Users\Acer\u_teen\lib\providers\food_provider.dart", "Dart", 0, 0, 0, 72, 0, 0, 0, 0, 0, 2, 19, 93
"c:\Users\Acer\u_teen\lib\providers\notification_provider.dart", "Dart", 0, 0, 0, 100, 0, 0, 0, 0, 0, 1, 12, 113
"c:\Users\Acer\u_teen\lib\providers\order_provider.dart", "Dart", 0, 0, 0, 327, 0, 0, 0, 0, 0, 6, 35, 368
"c:\Users\Acer\u_teen\lib\providers\rating_provider.dart", "Dart", 0, 0, 0, 58, 0, 0, 0, 0, 0, 1, 10, 69
"c:\Users\Acer\u_teen\lib\repositories\order_repository.dart", "Dart", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 7, 51
"c:\Users\Acer\u_teen\lib\screens\customer\favorite_screen.dart", "Dart", 0, 0, 0, 198, 0, 0, 0, 0, 0, 0, 4, 202
"c:\Users\Acer\u_teen\lib\screens\customer\home_screen.dart", "Dart", 0, 0, 0, 562, 0, 0, 0, 0, 0, 0, 25, 587
"c:\Users\Acer\u_teen\lib\screens\customer\my_orders_screen.dart", "Dart", 0, 0, 0, 194, 0, 0, 0, 0, 0, 1, 12, 207
"c:\Users\Acer\u_teen\lib\screens\customer\notification_screen.dart", "Dart", 0, 0, 0, 308, 0, 0, 0, 0, 0, 3, 8, 319
"c:\Users\Acer\u_teen\lib\screens\customer\payment_screen.dart", "Dart", 0, 0, 0, 351, 0, 0, 0, 0, 0, 3, 26, 380
"c:\Users\Acer\u_teen\lib\screens\customer\payment_success_screen.dart", "Dart", 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 5, 112
"c:\Users\Acer\u_teen\lib\screens\customer\profile_screen.dart", "Dart", 0, 0, 0, 197, 0, 0, 0, 0, 0, 0, 5, 202
"c:\Users\Acer\u_teen\lib\screens\customer\shopping_cart_screen.dart", "Dart", 0, 0, 0, 489, 0, 0, 0, 0, 0, 0, 28, 517
"c:\Users\Acer\u_teen\lib\screens\login_screen.dart", "Dart", 0, 0, 0, 265, 0, 0, 0, 0, 0, 1, 21, 287
"c:\Users\Acer\u_teen\lib\screens\seller\cancellation_screen.dart", "Dart", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 6, 69
"c:\Users\Acer\u_teen\lib\screens\seller\completed_screen.dart", "Dart", 0, 0, 0, 66, 0, 0, 0, 0, 0, 1, 8, 75
"c:\Users\Acer\u_teen\lib\screens\seller\edit_product_screen.dart", "Dart", 0, 0, 0, 456, 0, 0, 0, 0, 0, 16, 40, 512
"c:\Users\Acer\u_teen\lib\screens\seller\home_screen.dart", "Dart", 0, 0, 0, 429, 0, 0, 0, 0, 0, 6, 14, 449
"c:\Users\Acer\u_teen\lib\screens\seller\my_balance_screen.dart", "Dart", 0, 0, 0, 574, 0, 0, 0, 0, 0, 0, 16, 590
"c:\Users\Acer\u_teen\lib\screens\seller\my_product_screen.dart", "Dart", 0, 0, 0, 134, 0, 0, 0, 0, 0, 0, 8, 142
"c:\Users\Acer\u_teen\lib\screens\seller\on_process_screen.dart", "Dart", 0, 0, 0, 370, 0, 0, 0, 0, 0, 12, 21, 403
"c:\Users\Acer\u_teen\lib\screens\seller\rating_screen.dart", "Dart", 0, 0, 0, 86, 0, 0, 0, 0, 0, 4, 8, 98
"c:\Users\Acer\u_teen\lib\screens\seller\transaction_history_screen.dart", "Dart", 0, 0, 0, 459, 0, 0, 0, 0, 0, 0, 23, 482
"c:\Users\Acer\u_teen\lib\services\calendar_service.dart", "Dart", 0, 0, 0, 234, 0, 0, 0, 0, 0, 0, 30, 264
"c:\Users\Acer\u_teen\lib\services\email_service.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 0, 0, 8, 5, 40
"c:\Users\Acer\u_teen\lib\utils\calendar_utils.dart", "Dart", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 5, 44
"c:\Users\Acer\u_teen\lib\utils\navigation_utils.dart", "Dart", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\Acer\u_teen\lib\widgets\customer\cart_item_widget.dart", "Dart", 0, 0, 0, 134, 0, 0, 0, 0, 0, 0, 4, 138
"c:\Users\Acer\u_teen\lib\widgets\customer\cart_summary_widget.dart", "Dart", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 2, 51
"c:\Users\Acer\u_teen\lib\widgets\customer\category_selector.dart", "Dart", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 4, 56
"c:\Users\Acer\u_teen\lib\widgets\customer\custom_bottom_navigation.dart", "Dart", 0, 0, 0, 187, 0, 0, 0, 0, 0, 1, 18, 206
"c:\Users\Acer\u_teen\lib\widgets\customer\detail_box.dart", "Dart", 0, 0, 0, 245, 0, 0, 0, 0, 0, 9, 14, 268
"c:\Users\Acer\u_teen\lib\widgets\customer\search_widget.dart", "Dart", 0, 0, 0, 305, 0, 0, 0, 0, 0, 3, 19, 327
"c:\Users\Acer\u_teen\lib\widgets\food_list.dart", "Dart", 0, 0, 0, 168, 0, 0, 0, 0, 0, 2, 8, 178
"c:\Users\Acer\u_teen\lib\widgets\notes_field.dart", "Dart", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\Acer\u_teen\lib\widgets\order_card.dart", "Dart", 0, 0, 0, 861, 0, 0, 0, 0, 0, 14, 34, 909
"c:\Users\Acer\u_teen\lib\widgets\payment_method_card.dart", "Dart", 0, 0, 0, 219, 0, 0, 0, 0, 0, 5, 15, 239
"c:\Users\Acer\u_teen\lib\widgets\rating\feedback_card.dart", "Dart", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 3, 59
"c:\Users\Acer\u_teen\lib\widgets\rating\rating_dialog.dart", "Dart", 0, 0, 0, 152, 0, 0, 0, 0, 0, 4, 16, 172
"c:\Users\Acer\u_teen\lib\widgets\rating\rating_distribution_card.dart", "Dart", 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 5, 77
"c:\Users\Acer\u_teen\lib\widgets\rating\rating_history_card.dart", "Dart", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 3, 69
"c:\Users\Acer\u_teen\lib\widgets\rating\rating_stars.dart", "Dart", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\Acer\u_teen\lib\widgets\rating\rating_summary_card.dart", "Dart", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 3, 69
"c:\Users\Acer\u_teen\lib\widgets\seller\calendar_widget.dart", "Dart", 0, 0, 0, 478, 0, 0, 0, 0, 0, 3, 28, 509
"c:\Users\Acer\u_teen\lib\widgets\seller\event_card.dart", "Dart", 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 4, 104
"c:\Users\Acer\u_teen\lib\widgets\seller\product_card.dart", "Dart", 0, 0, 0, 201, 0, 0, 0, 0, 0, 5, 3, 209
"c:\Users\Acer\u_teen\lib\widgets\seller\sales_metric_card.dart", "Dart", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 3, 65
"c:\Users\Acer\u_teen\lib\widgets\seller\seller_custom_bottom_navigation.dart", "Dart", 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 16, 180
"c:\Users\Acer\u_teen\lib\widgets\seller\status_button.dart", "Dart", 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 3, 75
"c:\Users\Acer\u_teen\lib\widgets\time_picker_widget.dart", "Dart", 0, 0, 0, 210, 0, 0, 0, 0, 0, 3, 18, 231
"c:\Users\Acer\u_teen\linux\flutter\generated_plugin_registrant.cc", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"c:\Users\Acer\u_teen\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Acer\u_teen\linux\runner\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Acer\u_teen\linux\runner\my_application.cc", "C++", 83, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"c:\Users\Acer\u_teen\linux\runner\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\Acer\u_teen\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 4, 19
"c:\Users\Acer\u_teen\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\Users\Acer\u_teen\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Acer\u_teen\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\Acer\u_teen\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 1, 344
"c:\Users\Acer\u_teen\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\Acer\u_teen\package-lock.json", "JSON", 0, 0, 862, 0, 0, 0, 0, 0, 0, 0, 1, 863
"c:\Users\Acer\u_teen\package.json", "JSON", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\Acer\u_teen\pubspec.yaml", "YAML", 0, 46, 0, 0, 0, 0, 0, 0, 0, 1, 14, 61
"c:\Users\Acer\u_teen\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\Acer\u_teen\web\index.html", "HTML", 0, 0, 0, 0, 0, 19, 0, 0, 0, 15, 5, 39
"c:\Users\Acer\u_teen\web\manifest.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\Acer\u_teen\windows\flutter\generated_plugin_registrant.cc", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"c:\Users\Acer\u_teen\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\Acer\u_teen\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\Acer\u_teen\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\Acer\u_teen\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\Acer\u_teen\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\Acer\u_teen\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\Acer\u_teen\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\Acer\u_teen\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\Acer\u_teen\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 547, 49, 1256, 11678, 61, 19, 518, 471, 10, 377, 1249, 16235
